,FPR,FNR
0,0.0636523266022827,0.841648590021692
1,0.10974539069359086,0.7049891540130152
2,0.10623353819139596,0.7114967462039046
3,0.21597892888498682,0.5292841648590022
4,0.19139596136962247,0.559652928416486
5,0.2559262510974539,0.45770065075921906
6,0.15935030728709393,0.6268980477223427
7,0.11369622475856014,0.6919739696312365
8,0.07374890254609306,0.7982646420824295
9,0.16681299385425813,0.6095444685466378
10,0.11369622475856014,0.6963123644251626
11,0.1299385425812116,0.6702819956616052
12,0.27348551360842843,0.41431670281995664
13,0.1356453028972783,0.6572668112798264
14,0.13476733977172958,0.6594360086767896
15,0.17998244073748904,0.5878524945770065
16,0.22388059701492538,0.5184381778741866
17,0.2177348551360843,0.5379609544468547
18,0.20368744512730466,0.5553145336225597
19,0.09745390693590869,0.7527114967462039
20,0.18700614574187885,0.579175704989154
21,0.08691834942932397,0.7700650759219089
22,0.15013169446883232,0.6334056399132321
23,0.17603160667251974,0.5943600867678959
24,0.1777875329236172,0.5921908893709328
25,0.21378402107111502,0.5357917570498916
26,0.10755048287971905,0.7266811279826464
27,0.20500438981562774,0.559652928416486
28,0.12949956101843724,0.6637744034707158
29,0.2151009657594381,0.5249457700650759
30,0.2467076382791923,0.4772234273318872
31,0.18129938542581212,0.5900216919739696
32,0.1997366110623354,0.5574837310195228
33,0.17032484635645304,0.596529284164859
34,0.2151009657594381,0.5379609544468547
35,0.16022827041264268,0.6182212581344902
36,0.17822651448639157,0.596529284164859
37,0.14135206321334504,0.6550976138828634
38,0.14398595258999122,0.6377440347071583
39,0.13169446883230904,0.6637744034707158
40,0.18305531167690958,0.5878524945770065
41,0.24582967515364354,0.45770065075921906
42,0.1826163301141352,0.5856832971800434
43,0.20368744512730466,0.5401301518438177
44,0.1334503950834065,0.6637744034707158
45,0.20939420544337137,0.5336225596529284
46,0.15539947322212466,0.631236442516269
47,0.20763827919227393,0.544468546637744
48,0.13257243195785778,0.6681127982646421
49,0.1900790166812994,0.5704989154013015
